Tamanho,Tamanho_Padrao,Largura,Altura,SV_B,CV_B,SV_P,CV_P
20x30,Sim,0.2,0.3,60,75.0,70,85.0
30x40,Sim,0.3,0.4,95,120.0,110,135.0
40x40,Sim,0.4,0.4,125,160.0,140,175.0
40x60,Sim,0.4,0.6,155,190.0,175,210.0
50x50,Sim,0.5,0.5,175,210.0,195,230.0
40x80,Sim,0.4,0.8,190,230.0,215,255.0
50x70,Sim,0.5,0.7,205,230.0,230,255.0
60x60,Sim,0.6,0.6,215,255.0,240,280.0
60x80,Sim,0.6,0.8,255,330.0,285,360.0
70x70,Não,0.7,0.7,285,350.0,315,380.0
50x100,Não,0.5,1.0,310,430.0,340,460.0
60x90,Sim,0.6,0.9,280,385.0,310,415.0
70x90,Não,0.7,0.9,375,540.0,415,580.0
80x80,Não,0.8,0.8,380,530.0,420,570.0
70x100,Sim,0.7,1.0,410,590.0,450,630.0
60x120,Não,0.6,1.2,455,590.0,495,630.0
90x90,Não,0.9,0.9,450,650.0,490,690.0
70x130,Não,0.7,1.3,560,790.0,600,830.0
60x160,Não,0.6,1.6,690,910.0,740,960.0
80x120,Sim,0.8,1.2,565,795.0,605,835.0
100x100,Sim,1.0,1.0,570,800.0,610,840.0
90x130,Sim,0.9,1.3,660,930.0,710,980.0
100x120,Não,1.0,1.2,650,990.0,690,1040.0
80x160,Não,0.8,1.6,790,1050.0,840,1100.0
100x130,Não,1.0,1.3,770,1090.0,820,1140.0
120x120,Não,1.2,1.2,830,1350.0,880,1400.0
100x150,Sim,1.0,1.5,990,1390.0,1040,1440.0
90x180,Não,0.9,1.8,1020,1450.0,1080,1510.0
90x200,Não,0.9,2.0,1120,1650.0,1180,1710.0
100x200,Sim,1.0,2.0,1190,1790.0,1250,1850.0
120x180,Não,1.2,1.8,1550,,1610,
140x190,Não,1.4,1.9,1750,,1820,
140x200,Não,1.4,2.0,1800,,1870,
140x230,Não,1.4,2.3,2200,,2280,
